screen_name,state,URLs
MISenate,Michigan,"00.html,4668,7-277-74857_74858---,http://1.usa.gov/1njLeo4,http://1.usa.gov/1OtGW3K,http://bit.ly/1KKf61E,http://bit.ly/1mFI1ig,http://bit.ly/1mYvN4G,http://bit.ly/1nm8IJi,http://bit.ly/1OGNqN0,http://bit.ly/1OL9LZT,http://bit.ly/1OLop3l,http://bit.ly/1PE1DQC,http://bit.ly/1PF14py,http://bit.ly/1PHJilN,http://bit.ly/1Pkp80Y,http://bit.ly/1Pn5cdN,http://fb.me/7TSeSAQTu,http://ow.ly/WOgYV,http://senate.michigan.gov,http://www.freep.com/story/money/business/michigan/2016/01/02/5-trends-watch-state-economy/78012668/,http://www.michigan.gov/snyder/0,https://twitter.com/JohnMProos/status/684475846392987648,https://twitter.com/MichStatePolice/status/690591273296752641"
MissouriGOP,Missouri,"http://clk.gop/2ekojX,http://clk.gop/2KWSyw,http://clk.gop/5yC8H3,http://clk.gop/8vSw3m,http://clk.gop/8X5ZNh,http://clk.gop/9Rg4TX,http://clk.gop/aTwoAj,http://clk.gop/BnesUk,http://clk.gop/boqesw,http://clk.gop/C179Yb,http://clk.gop/cTMrBU,http://clk.gop/fF8bFF,http://clk.gop/fYxtSo,http://clk.gop/hTQjt9,http://clk.gop/hVQC5k,http://clk.gop/JmkH6u,http://clk.gop/jV2dcG,http://clk.gop/kJszLq,http://clk.gop/kX35uM,http://clk.gop/LSzgcj,http://clk.gop/pnJdR5,http://clk.gop/qKNdnF,http://clk.gop/QQXGcM,http://clk.gop/qUmLbj,http://clk.gop/ra9VRN,http://clk.gop/Rsd96t,http://clk.gop/sdu5Yd,http://clk.gop/sSRy8m,http://clk.gop/VWuTsx,http://clk.gop/wHqAWJ,http://clk.gop/wJgMpb,http://clk.gop/y9u5QC,http://clk.gop/YRT7U5,http://clk.gop/z4mqLv,http://lincolndays.missouri.gop,http://missouri.gop/volunteer,http://missouri.gop/volunteer/,http://mogop.org,http://www.missourinet.com/2016/01/19/2016-missouri-state-of-the-state-address/,https://amp.twimg.com/v/9c2a41a0-1718-415b-8b0f-ca0a26c6cf01,https://lincolndays.misso"
mnsrc,Minnesota,"http://bit.ly/1JTNqac,http://bit.ly/1SdSnmJ,http://bit.ly/1SJW8z7,http://bit.ly/1UzWLK9,http://buff.ly/1l77vDq,http://buff.ly/1ZaFSXK,http://cnnmon.ie/1RA8cni,http://strib.mn/1nRlNdn,http://strib.mn/1UPGfpj,http://www.senate.leg.state.mn.us/jobs/employment_postings/view_job.php?id=170,https://twitter.com/chrissnowbeck/status/689832494745554944,https://twitter.com/MinnPost/status/689827261462265857,https://twitter.com/pioneerpress/status/684608747029839873,https://twitter.com/StarTribune/status/684192705673445378,https://www.periscope.tv/w/aXJpvjI2NTUzODJ8MUx5eEJWbXBBTG94Tp7QB4qpxhKDsdvDHKkBBpmGiyYIJrp1i0Udp552wbzr,https://www.periscope.tv/w/aXJs3jI2NTUzODJ8MXJteFBsd2xwZUx4TpdClkiWSkkKxgYz-AqOUHjFVyPb5FHd92EfownXfuxc,https://www.youtube.com/watch?v=_Yz0whV45Es,https://youtu.be/8fG4mMIS3TI"
MSGOP,Mississippi,"http://1.usa.gov/1kPlKNg,http://bit.ly/1ONS3Up,http://cnn.it/1RhUlSJ,http://cnn.it/1RhUqWB,http://hill.cm/lcEgVf1,http://mdah.state.ms.us/new/news/hil-2016/,http://ow.ly/X6Y0u,http://spencerritchie80.polldaddy.com/s/who-won-last-night-s-debate,http://www.foxnews.com/politics/2016/01/19/inspector-general-clinton-emails-had-intel-from-most-secretive-classified-programs.html,http://www.mpbonline.org/,http://www.mpbonline.org/blogs/news/2016/01/12/live-inauguration-of-gov-phil-bryant/,http://www.msgop.org/2016-presidential-straw-poll/,http://www.msgop.org/donate/,http://www.supertalk.fm/listen/,http://www.washingtonexaminer.com/article/2580920/,https://594310.content.nlgrid.com/wf/webmail?rp=ZTI1bGQzTnNaWFIwWlhKZmFXUTZNVEl6TkN4MWMyVnlYMmxrT2pJMU5qVTBmUWV5SnVaWGR6YkdWMGRHVnlYMmxrSWpvaU1qRTRNemswT0RjaUxDSnVaWGR6YkdWMGRHVnlYM1Z6WlhKZmFXUWlPalUyT0RreE5EQXdORE0yZlE9PQ%3D%3D,https://594310.content.nlgrid.com/wf/webmail?rp=ZTI1bGQzTnNaWFIwWlhKZmFXUTZNVEl6TkN4MWMyVnlYMmxrT2pJMU5qVTBmUWV5SnVaWGR6YkdWMGRHVnlYMmxrSWpvaU1qRT"
NancyBarto,Arizona,"http://nancybarto.com/wordpress/?p=3417,http://nancybarto.com/wordpress/?p=3428,https://twitter.com/ajbaghai/status/689594753319510016,https://twitter.com/arizotasocialme/status/689635597695123457,https://twitter.com/azeconomicnews/status/689492717634584576,https://twitter.com/buccerinancy/status/691971386391281669,https://twitter.com/callisto1947/status/681904427977076736,https://twitter.com/emilyjyu/status/688415541267070976,https://twitter.com/heathercarteraz/status/687127938551136256,https://twitter.com/katiepavlich/status/682299596576571392,https://twitter.com/kengreenberg/status/691975560055164928,https://twitter.com/mercymaricopa/status/685531602370207745,https://twitter.com/momiofaz/status/692474420540116992,https://twitter.com/repmattsalmon/status/690273992255496192,https://twitter.com/tumbleweedyouth/status/686585936742842369"
NCGOP,"North Carolina","http://abcnews.go.com/Politics/bernie-sanders-takes-slim-lead-hillary-clinton-iowa/story?id=36240514,http://bigstory.ap.org/article/da2688837137474b9f904d69106c1aae/state-department-declares-22-emails-hillary-clintons,http://bit.ly/1PIt1Nq,http://bit.ly/1PXIQwr,http://goo.gl/tCgDdt,http://instagram.com/p/BA2LPbPHdqA/,http://instagram.com/p/BBDToyDHdlp/,http://LeadRight2016.com,http://lockerroom.johnlocke.org/2016/01/14/nea-union-affiliates-are-hurtin/,http://sotu.gop.gov/,http://thehill.com/business-a-lobbying/lobbying-hires/265281-ex-sen-kay-hagan-joins-lobby-firm,http://time.com/4189537/bernie-sanders-hillary-clinton-poll-iowa/,http://washex.am/1OaEVJL,http://wfae.org/post/nc-asks-supreme-court-delay-us-clean-power-rules,http://www.carolinajournal.com/exclusives/display_exclusive.html?id=12745,http://www.charlotteobserver.com/news/politics-government/article53181805.html,http://www.forbes.com/sites/patrickgleason/2015/12/31/state-tax-changes/,http://www.forbes.com/sites/patrickgleason/2016/01/17/ge-departur"
NDGOP,"North Dakota","http://bit.ly/1ONnBQF,http://www.ndgop.org/?p=6879"
NEGOP,Nebraska,https://gop.com/clinton-stumbles-on-fresh-questions-regarding-emails/
NewMexicoGOP,"New Mexico","http://newmexico.gop/press-release/,http://nmpolitics.net/index/2016/01/gov-susana-martinezs-2016-state-of-the-state-address/,http://tinyurl.com/m5tyaya,http://www.foxbusiness.com/features/2016/01/11/where-can-watch-and-participate-in-gop-debate.html,http://www.youtube.com/watch?v=jC5PnEtx-E4,https://newmexico.gop/1357-2/"
NewYorkGOP,"New York","http://m.huffpost.com/us/entry/8913948,http://m.timesunion.com/tuplus-local/article/Churchill-Reasons-to-worry-about-15-minimum-wage-6772873.php,http://newyork.gop,http://www.foxnews.com/politics/2016/01/21/flare-out-mega-solar-company-slashing-jobs-despite-govt-benefits.html?intcmp=hplnws,http://www.nygop.org,https://twitter.com/fud31/status/686163791097282560"
